id,name,category,月增率%,年增率%,累計年增率%,5日漲跌幅,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
4419,元勝,紡織纖維,,,,4.61,49.95,2.04,0.0,1.0,-0.31,0.74,2.09,4.25,2.04,49.95,0.0,1.0,1.03,1.51,2.5,1.39,4.24
4420,光明,紡織纖維,,,,-0.2,50.1,-0.6,-0.4,89.45,0.4,-0.2,-0.2,1.0,-0.6,50.1,0.0,20.31,48.71,-0.3,-0.09,-0.22,-0.37
4430,耀億,其他,,,,1.13,17.8,0.0,-0.56,30.21,-0.28,-0.28,1.14,0.05000000000000071,-1.12,17.6,-0.84,8.0,22.57,0.09,0.26,0.24,-0.04
4432,銘旺實,紡織纖維,,,,1.48,16.95,-0.29,-0.88,18.33,0.89,-0.29,0.29,0.25,-0.88,16.85,-1.45,4.1,2.15,-0.0,0.18,0.37,0.73
4433,興采,紡織纖維,,,,-3.31,23.25,-0.64,-0.64,106.95,-4.55,2.6,-1.27,0.9000000000000021,0.0,23.4,-3.7,188.99,144.66,-0.28,1.26,1.73,2.24
4502,健信,電機機械,,,,4.11,16.2,1.57,-1.52,69.26,0.32,1.89,-1.24,0.05000000000000071,0.0,15.95,0.0,5.4,10.72,0.21,0.2,0.26,0.14
4503,金雨,電機機械,,,,0.48,41.25,0.24,-1.43,132.64,0.0,-2.16,0.98,0.44999999999999574,0.73,41.45,-1.91,127.22,256.76,-0.04,0.6,0.55,-3.85
4506,崇友,電機機械,,,,0.86,115.5,-0.43,-1.7,119.36,0.86,0.43,-1.69,3.5,-0.43,115.5,-1.69,41.59,197.41,-1.2,-1.45,-2.8,-5.83
4510,高鋒,電機機械,,,,29.06,50.4,2.54,-3.82,14846.42,9.98,3.25,6.62,0.0,0.41,49.35,-2.67,14198.49,19463.25,4.22,7.02,8.4,10.34
4513,福裕,電機機械,,,,35.93,22.7,9.93,0.0,3779.87,9.88,2.45,9.84,0.0,6.54,22.0,0.0,925.73,2150.31,3.26,4.41,4.54,4.9
4523,永彰,電機機械,,,,19.24,31.75,0.95,-3.35,1311.22,3.27,0.53,9.97,0.0,4.29,32.8,0.0,115.45,1106.89,2.19,2.92,2.75,1.06
4527,方方土霖,電機機械,,,,0.49,40.7,-0.12,0.0,41.3,0.49,-0.37,0.49,0.44999999999999574,-0.12,40.7,-0.61,27.66,25.84,0.06,0.48,0.9,1.29
4528,江興鍛,電機機械,,,,14.87,19.7,9.75,0.0,301.72,1.75,1.15,1.7,0.0,0.56,18.05,0.0,29.8,90.55,1.72,2.46,2.7,2.66
4529,淳紳,其他,,,,5.11,3.35,-1.47,-4.29,167.01,2.1,0.0,0.0,0.41000000000000014,-1.18,3.36,-3.68,70.03,82.0,-0.03,-0.11,-0.25,-0.38
4530,宏易,電機機械,,,,10.62,30.05,8.29,-0.5,43.15,2.56,1.79,-2.63,,1.98,28.3,-7.04,5.87,37.17,1.73,2.29,2.13,13.92
4533,協易機,電機機械,,,,37.86,30.0,-1.15,-4.76,28410.83,9.85,9.96,9.96,0.0,2.47,31.1,0.0,14844.61,15624.24,2.82,5.34,6.77,8.09
4534,慶騰,電機機械,,,,34.93,19.7,9.75,0.0,3702.61,2.05,9.73,9.79,0.0,4.18,18.7,0.0,1173.08,2821.29,3.0,4.01,4.43,4.56
